Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
803,Stephen Curry,15,2013-04-17,25-034,GSW,@,POR,W 99-88,*,32,5,16,0.313,1,5,0.2,4,11,0.364,1,1,1.0,0.456,1,1,2,5,3,0,1,2,15,11.5,6.5,9,G,curryst01
804,Stephen Curry,15,2013-11-16,25-247,GSW,,UTA,W 102-88,*,39,7,20,0.35,7,15,0.467,0,5,0.0,1,2,0.5,0.359,0,3,3,11,1,0,0,1,15,12.6,-1.7,18,G,curryst01
805,Stephen Curry,15,2013-12-25,25-286,GSW,,LAC,W 105-103,*,42,5,17,0.294,3,11,0.273,2,6,0.333,3,3,1.0,0.409,1,5,6,11,1,0,2,1,15,13.6,1.2,8,G,curryst01
806,Stephen Curry,15,2014-01-07,25-299,GSW,@,MIL,W 101-80,*,36,5,18,0.278,3,7,0.429,2,11,0.182,3,4,0.75,0.38,0,0,0,6,1,0,7,2,15,1.4,-11.0,9,G,curryst01
807,Stephen Curry,15,2014-11-23,26-254,GSW,@,OKC,W 91-86,*,38,5,15,0.333,3,9,0.333,2,6,0.333,3,4,0.75,0.447,0,6,6,6,1,0,1,0,15,12.1,1.2,2,G,curryst01
808,Stephen Curry,15,2015-04-13,27-030,GSW,,MEM,W 111-107,*,29,6,10,0.6,3,4,0.75,3,6,0.5,0,0,,0.75,0,4,4,8,1,0,3,2,15,14.4,4.7,24,G,curryst01
809,Stephen Curry,15,2016-12-22,28-283,GSW,@,BRK,W 117-101,*,33,6,19,0.316,3,6,0.5,3,13,0.231,0,0,,0.395,0,2,2,7,5,0,2,5,15,10.6,-0.5,25,G,curryst01
810,Stephen Curry,15,2016-12-25,28-286,GSW,@,CLE,L 108-109,*,37,4,11,0.364,2,4,0.5,2,7,0.286,5,6,0.833,0.55,0,3,3,3,3,0,3,4,15,9.9,-0.9,-1,G,curryst01
811,Stephen Curry,15,2018-12-25,30-286,GSW,,LAL,L 101-127,*,37,5,17,0.294,3,9,0.333,2,8,0.25,3,3,1.0,0.409,0,2,2,5,1,0,1,5,15,7.2,-5.2,-9,G,curryst01
812,Stephen Curry,15,2019-03-21,31-007,GSW,,IND,W 112-89,*,29,5,15,0.333,0,3,0.0,5,12,0.417,0,0,,0.5,1,3,4,7,1,0,3,3,15,9.8,2.2,24,G,curryst01
813,Stephen Curry,15,2021-11-03,33-234,GSW,,CHO,W 114-92,*,35,6,15,0.4,3,4,0.75,3,11,0.273,0,0,,0.5,1,7,8,9,1,1,4,3,15,12.5,-0.5,-1,G,curryst01
814,Stephen Curry,15,2022-03-08,33-359,GSW,,LAC,W 112-97,*,35,5,12,0.417,4,6,0.667,1,6,0.167,4,4,1.0,0.545,0,5,5,5,3,0,4,4,15,11.0,-2.8,6,G,curryst01
815,Stephen Curry,15,2023-01-13,34-305,GSW,@,SAS,W 144-113,*,23,6,12,0.5,4,5,0.8,2,7,0.286,1,1,1.0,0.603,0,4,4,3,0,1,0,3,15,11.8,0.0,12,G,curryst01
816,Stephen Curry,15,2024-01-10,35-302,GSW,,NOP,L 105-141,*,25,4,13,0.308,1,5,0.2,3,8,0.375,4,4,1.0,0.508,0,1,1,6,1,0,3,0,15,10.0,0.3,-4,G,curryst01
817,Stephen Curry,15,2024-02-23,35-346,GSW,,CHO,W 97-84,*,31,5,14,0.357,2,3,0.667,3,11,0.273,2,2,1.0,0.504,0,2,2,5,1,0,4,1,15,7.9,-2.0,10,G,curryst01
818,Stephen Curry,15,2024-03-07,35-359,GSW,,CHI,L 122-125,*,29,5,18,0.278,2,6,0.333,3,12,0.25,2,2,1.0,0.397,0,3,3,1,0,0,2,1,15,3.6,-12.8,9,G,curryst01
819,Stephen Curry,14,2009-10-28,21-228,GSW,,HOU,L 107-108,*,36,7,12,0.583,7,11,0.636,0,1,0.0,0,0,,0.583,1,1,2,7,4,0,2,2,14,15.5,6.0,7,G,curryst01
820,Stephen Curry,14,2009-11-14,21-245,GSW,@,MIL,L 125-129,,26,6,9,0.667,4,7,0.571,2,2,1.0,0,0,,0.778,1,3,4,2,2,1,1,5,14,12.8,4.6,2,G,curryst01
